Name,Parents,Genetics,THC,CBD,Smell & flavour,Effect
Jack La Mota,Northern Lights 5 x Haze x Skunk,Sativa-dominant (75%),15-20%,High,"['Fruity', 'Pine', 'Skunk', 'Citrus', 'Pungent']","['Euphoric', 'Cerebral', 'Energetic', 'Uplifting']"
Jack O Nesia,Jack 22 x Amnesia,Sativa-dominant,High,Unknown,"['Sweet', 'Candy', 'Spicy']","['Euphoric', 'Creative', 'Cerebral', 'Energetic']"
Jack Plant,Early Widow x Jack Herer,Sativa-dominant,20%,Unknown,"['Sweet', 'Spicy', 'Sour']","['Uplifting', 'Euphoric', 'Cerebral', 'Energetic']"
Jack Skellington,Killer Queen x Jack The Ripper,Sativa-dominant (70%),High,Unknown,"['Citrus', 'Lime', 'Fruity']","['Strong', 'Euphoric', 'Creative']"
Jack The Ripper,Space Queen x  Jacks Cleaner,Sativa-dominant (70%),Medium,Unknown,"['Fruity', 'Sweet', 'Lemon', 'Pine']","['Euphoric', 'Uplifting', 'Cerebral']"
Jack's Cleaner 2,Purple Haze x Pluton x Jack Herer x Jamaican Lambsbread x Jack The Ripper x Northern Lights,Sativa-dominant (80%),High,Unknown,"['Herbal', 'Lemon', 'Citrus', 'Spicy']","['Creative', 'Cerebral', 'Trippy', 'Uplifting', 'Narcotic', 'Energetic']"
Jacky White,Jack Herer x White Widow,Sativa-dominant (75%),18-22%,0.10%,"['Sweet', 'Fruity', 'Grape']","['Happy', 'Cerebral', 'Alert', 'Sociable', 'Relaxed']"
Jägg Kush,Warlock,Sativa-dominant (60%),25%,Unknown,"['Citrus', 'Fresh', 'Fruity']","['Happy', 'Cerebral', 'Euphoric']"
Jamaican Blueberry BX,Blueberry BX1 x Jamaican,Sativa-dominant (70%),17%,Low,"['Fruity', 'Blueberry', 'Lemon']","['Creative', 'Relaxed', 'Uplifting', 'Energetic']"
Jamaican Dream,Jamaican,Sativa (90-100%),17-21%,Low,"['Strawberry', 'Citrus', 'Sweet', 'Fruity', 'Tropical']","['Tingly', 'Energetic', 'Uplifting', 'Motivated']"
Jamaican Lambsbread,Jamaican,Sativa (100%),21-25%,Unknown,"['Pine', 'Earthy', 'Lemon']","['Cerebral', 'Energetic', 'Motivated', 'Euphoric']"
Jamaican OG,Jamaican Me Crazy x SFV OG Kush,Sativa-dominant,High,Unknown,"['Citrus', 'Woody', 'Herbal', 'Lemon']","['Motivated', 'Happy', 'Uplifting']"
Jamaican Pearl,Jamaican x Early Pearl,Sativa-dominant (85%),Medium,Unknown,"['Sweet', 'Spicy', 'Earthy', 'Fruity']","['Uplifting', 'Energetic']"
Jedi Kush,Deathstar x SFV OG Kush,Indica/sativa,High,High,"['Hashish', 'Lemon', 'Fuel']","['Uplifting', 'Balanced', 'Relaxed', 'Body-buzz']"
Jenny Kush,Rare Dankness 2 x Amnesia Haze,Sativa-dominant,High,Unknown,"['Citrus', 'Lemon', 'Fruity', 'Lime']","['Happy', 'Uplifting', 'Euphoric', 'Motivated']"
Jesus OG,Hells OG x Jack The Ripper,Indica-dominant (80%),High,Unknown,"['Fruity', 'Kushy', 'Lemon']","['Meditative', 'Narcotic', 'Couch-lock']"
